ActionGeo_ADM1Code,ActionGeo_CountryCode,ActionGeo_FeatureID,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Type,Actor1Code,Actor1CountryCode,Actor1EthnicCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_CountryCode,Actor1Geo_FullName,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_Type,Actor1KnownGroupCode,Actor1Name,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2CountryCode,Actor2EthnicCode,Actor2Geo_ADM1Code,Actor2Geo_CountryCode,Actor2Geo_FeatureID,Actor2Geo_FullName,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_Type,Actor2KnownGroupCode,Actor2Name,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,AvgTone,DATEADDED,EventBaseCode,EventCode,EventRootCode,FractionDate,GLOBALEVENTID,GoldsteinScale,IsRootEvent,MonthYear,NumArticles,NumMentions,NumSources,QuadClass,SOURCEURL,SQLDATE,Year,index
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,COP,,,ID21,1.0392,ID,"Tolitoli, Sulawesi Tengah, Indonesia",120.817,-2701050,4,,POLICE CHIEF,,,COP,,,IDN,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,JAKARTA,,,,,,-5.9375,20180808,10,10,1,2018.5973,778016300,0,1,201808,38,38,38,1,https://www.lacombeglobe.com/news/crime/indonesian-witch-doctor-accused-of-using-kidnapped-girl-as-sex-slave-for-15-years/wcm/a827f821-417a-46e9-909c-875f30f0b53c,20180808,2018,1820
ID08,ID,10205777,"Bali, Jawa Timur, Indonesia",-7.1046,112.337,4,FJI,FJI,,ID08,-7.1046,ID,"Bali, Jawa Timur, Indonesia",112.337,10205777,4,,FIJI,,,,,,IDN,IDN,,ID08,ID,10205777,"Bali, Jawa Timur, Indonesia",-7.1046,112.337,4,,INDONESIA,,,,,,-1.914580265,20180807,10,10,1,2018.5945,777707428,0,1,201808,2,2,1,1,http://www.fijitimes.com/collective-response-to-transnational-crimes/,20180807,2018,1847
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,IDNEDU,IDN,,ID04,-6.17444,ID,"Jakarta, Jakarta Raya, Indonesia",106.829,-2679652,4,,INDONESIAN,,,EDU,,,IDN,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,INDONESIAN,,,,,,-4.891304348,20180807,141,141,14,2018.5945,777732701,-6.5,0,201808,3,3,1,3,https://www.newsweek.com/heres-where-paul-manafort-did-business-corrupt-dictators-1061470,20180807,2018,1850
ID,ID,ID,Indonesia,-5,120,1,GOV,,,ID,-5,ID,Indonesia,120,ID,1,,PRIME MINISTER,,,GOV,,,IDNGOV,IDN,,ID,ID,ID,Indonesia,-5,120,1,,INDONESIAN,,,GOV,,,0.824175824,20180806,51,51,5,2018.5918,777375758,3.4,1,201808,18,18,3,1,http://www.malaysia-today.net/2018/08/06/anyone-who-can-prove-the-yacht-was-not-purchased-with-stolen-money-can-claim-it/,20180806,2018,1858
ID30,ID,-2679921,"West Java, Jawa Barat, Indonesia",-6.75,107.5,5,UAF,,,ID30,-6.75,ID,"West Java, Jawa Barat, Indonesia",107.5,-2679921,5,,TERRORIST,,,UAF,,,IDN,IDN,,ID30,ID,-2679921,"West Java, Jawa Barat, Indonesia",-6.75,107.5,5,,INDONESIA,,,,,,-5.555555556,20180805,172,172,17,2018.589,777162883,-5,1,201808,2,2,1,4,http://newsinfo.inquirer.net/1017925/37-suspected-terrorists-nabbed-ahead-of-asian-games,20180805,2018,1886
ID26,ID,10097572,"Banten, Sumatera Utara, Indonesia",3.5263,98.3798,4,EDU,,,ID30,-6.17806,ID,"Tangerang, Jawa Barat, Indonesia",106.63,-2699323,4,,STUDENT,,,EDU,,,IDNGOV,IDN,,ID26,ID,10097572,"Banten, Sumatera Utara, Indonesia",3.5263,98.3798,4,,BANTEN,,,GOV,,,-8.974358974,20180802,20,20,2,2018.5808,776670785,3,1,201808,4,4,1,1,http://www.thejakartapost.com/news/2018/08/03/s-tangerang-schools-long-time-rivalry-erupts-violence.html,20180802,2018,1898
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,MNCUSA,USA,,ID08,-7.24917,ID,"Surabaya, Jawa Timur, Indonesia",112.751,-2698521,4,,STARBUCKS,,,MNC,,,IDN,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,INDONESIA,,,,,,-7.308377897,20180731,190,190,19,2018.4959,775910428,-10,0,201807,2,2,1,4,https://www.mysanantonio.com/news/crime/article/Indonesian-court-outlaws-Islamic-State-linked-13118498.php,20180701,2018,1910
ID08,ID,-2698521,"Surabaya, Jawa Timur, Indonesia",-7.24917,112.751,4,MNCUSA,USA,,ID08,-7.24917,ID,"Surabaya, Jawa Timur, Indonesia",112.751,-2698521,4,,STARBUCKS,,,MNC,,,IDN,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,INDONESIA,,,,,,-7.339449541,20180731,190,190,19,2018.4959,775910429,-10,0,201807,10,10,5,4,https://www.sfgate.com/news/crime/article/Indonesian-court-outlaws-Islamic-State-linked-13118498.php,20180701,2018,1911
ID30,ID,-2676217,"Citra, Jawa Barat, Indonesia",-6.39556,107.812,4,BUS,,,ID30,-6.39556,ID,"Citra, Jawa Barat, Indonesia",107.812,-2676217,4,,CONGLOMERATE,,,BUS,,,IDN,IDN,,ID30,ID,-2676217,"Citra, Jawa Barat, Indonesia",-6.39556,107.812,4,,INDONESIAN,,,,,,-7.120743034,20180730,173,173,17,2018.5753,775760266,-5,1,201807,10,10,1,4,https://www.rappler.com/business/208506-san-miguel-corporation-holdings-theft-case-vs-indonesian-partners-new-judge,20180730,2018,1947
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,MNCUSA,USA,,ID04,-6.17444,ID,"Jakarta, Jakarta Raya, Indonesia",106.829,-2679652,4,,STARBUCKS,,,MNC,,,IDN,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,INDONESIA,,,,,,-9.553086338,20180725,190,190,19,2018.4795,774572733,-10,1,201806,138,138,46,4,https://www.mysanantonio.com/news/crime/article/Indonesia-seeks-ban-on-Islamic-State-linked-group-13103005.php,20180625,2018,2006
